isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
414,MINNEOTA PUBLIC SCHOOL DISTRICT,Lyon County,520,12,2.3,FOUND_MED_POLICY_ONLY,Rural,0
2396,A.C.G.C. Public School District,Meeker County,889,20,2.2,FOUND_MED_POLICY_ONLY,Rural,0
2184,LUVERNE PUBLIC SCHOOL DISTRICT,Rock County,1155,24,2.1,FOUND_MED_POLICY_ONLY,Rural,0
256,Red Wing Public School District,Goodhue County,2481,52,2.1,FOUND_MED_POLICY_ONLY,Rural,0
885,St. Michael-Albertville Schools,Wright County,6653,138,2.1,FOUND_SEIZURE_SPECIFIC,Suburb,1
294,HOUSTON PUBLIC SCHOOL DISTRICT,Houston County,1906,38,2.0,FOUND_MED_POLICY_ONLY,Rural,0
499,LEROY-OSTRANDER PUBLIC SCHOOLS,Mower County,250,5,2.0,FOUND_SEIZURE_SPECIFIC,Rural,1
110,WACONIA PUBLIC SCHOOL DISTRICT,Carver County,4049,82,2.0,FOUND_SEIZURE_SPECIFIC,Town,1
2899,PLAINVIEW-ELGIN-MILLVILLE,Wabasha County,1484,28,1.9,FOUND_SEIZURE_SPECIFIC,Rural,1
276,MINNETONKA PUBLIC SCHOOL DISTRICT,Hennepin County,11307,217,1.9,FOUND_MED_POLICY_ONLY,City,0
671,HILLS-BEAVER CREEK SCHOOL DISTRICT,Rock County,367,7,1.9,FOUND_MED_POLICY_ONLY,Rural,0
345,NEW LONDON-SPICER SCHOOL DISTRICT,Kandiyohi County,1550,30,1.9,NOT_VERIFIABLE,Town,0
832,MAHTOMEDI PUBLIC SCHOOL DISTRICT,Washington County,3229,58,1.8,FOUND_SEIZURE_SPECIFIC,Rural,1
877,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Wright County,5261,88,1.7,FOUND_SEIZURE_SPECIFIC,Town,1
200,HASTINGS PUBLIC SCHOOL DISTRICT,Dakota County,4160,69,1.7,FOUND_SEIZURE_SPECIFIC,Town,1
690,WARROAD PUBLIC SCHOOL DISTRICT,Roseau County,1050,18,1.7,FOUND_MED_POLICY_ONLY,Rural,0
2910,Ada-Borup-West Public Schools,Norman County,712,11,1.5,NOT_VERIFIABLE,Rural,0
2164,DILWORTH-GLYNDON-FELTON,Clay County,1589,24,1.5,FOUND_SEIZURE_SPECIFIC,Rural,1
150,HAWLEY PUBLIC SCHOOL DISTRICT,Clay County,1007,15,1.5,FOUND_MED_POLICY_ONLY,Rural,0
204,KASSON-MANTORVILLE SCHOOL DISTRICT,Dodge County,2171,32,1.5,FOUND_MED_POLICY_ONLY,Town,0
278,ORONO PUBLIC SCHOOL DISTRICT,Hennepin County,2859,42,1.5,FOUND_SEIZURE_SPECIFIC,Rural,1
741,PAYNESVILLE PUBLIC SCHOOL DISTRICT,Stearns County,908,14,1.5,FOUND_MED_POLICY_ONLY,Rural,0
682,ROSEAU PUBLIC SCHOOL DISTRICT,Roseau County,1162,18,1.5,NOT_FOUND,Rural,0
879,DELANO PUBLIC SCHOOL DISTRICT,Wright County,2429,34,1.4,FOUND_MED_POLICY_ONLY,Town,0
544,FERGUS FALLS PUBLIC SCHOOL DISTRICT,Otter Tail County,2993,41,1.4,FOUND_SEIZURE_SPECIFIC,Town,1
239,RUSHFORD-PETERSON PUBLIC SCHOOLS,Fillmore County,639,9,1.4,NOT_FOUND,Rural,0
363,SOUTH KOOCHICHING SCHOOL DISTRICT,Koochiching County,284,4,1.4,NOT_VERIFIABLE,Rural,0
2687,HOWARD LAKE-WAVERLY-WINSTED,Wright County,1264,17,1.3,FOUND_SEIZURE_SPECIFIC,Rural,1
2895,JACKSON COUNTY CENTRAL SCHOOL DIST.,Jackson County,1122,15,1.3,FOUND_MED_POLICY_ONLY,Rural,0
564,THIEF RIVER FALLS SCHOOL DISTRICT,Pennington County,1853,25,1.3,FOUND_SEIZURE_SPECIFIC,Town,1
2171,KITTSON CENTRAL SCHOOL DISTRICT,Kittson County,233,3,1.3,FOUND_MED_POLICY_ONLY,Rural,0
