npi,name,city,state,zip5,lat,lon
1225064405,HY-VEE INC,DAVENPORT,IA,52804,41.53258,-90.67858
1548296122,HY-VEE INC,WAVERLY,IA,50677,42.76264,-92.43273
1053732420,HY-VEE INC,FITCHBURG,WI,53719,43.02756,-89.50153
1073541553,HY-VEE INC,BURLINGTON,IA,52601,40.85501,-91.112
1417983057,HY-VEE INC,DES MOINES,IA,50315,41.54562,-93.62102
1407560329,HY-VEE INC,SIOUX FALLS,SD,57104,43.60469,-96.70745
1871529537,HY-VEE INC,CENTERVILLE,IA,52544,40.71758,-92.91073
1285906628,HY-VEE INC,FAIRMONT,MN,56031,43.62216,-94.46744
1134155781,HY-VEE INC,SIOUX CITY,IA,51106,42.46615,-96.32082
1649533324,HY-VEE INC,MASON CITY,IA,50401,43.15371,-93.20016
1912943895,HY-VEE INC,BOONE,IA,50036,42.08722,-93.8566
1063448587,HY-VEE INC,SIOUX CITY,IA,51105,42.50866,-96.36643
1376024869,HY-VEE INC,CORALVILLE,IA,52241,41.69869,-91.59474
1063448306,HY-VEE INC,ESTHERVILLE,IA,51334,43.4036,-94.80508
1396771267,HY-VEE INC,CEDAR RAPIDS,IA,52402,42.02277,-91.65978
1881811784,HY-VEE INC,CHEROKEE,IA,51012,42.74445,-95.56191
1477066710,HY-VEE INC,MANSON,IA,50563,42.52767,-94.52741
1922435841,HY-VEE INC,GLENWOOD,IA,51534,41.04291,-95.71685
1760412985,HY-VEE INC,WATERTOWN,SD,57201,44.93786,-97.09464
1821468299,HY-VEE INC,ROCHESTER,MN,55901,44.06977,-92.50688
1659307239,HY-VEE INC,SPENCER,IA,51301,43.15289,-95.14724
1689860678,HY-VEE INC,MILFORD,IA,51351,43.31658,-95.18692
1336179936,HY-VEE INC,SIOUX CITY,IA,51104,42.53542,-96.40413
1124054481,HY-VEE INC,SIOUX CENTER,IA,51250,43.08428,-96.2124
1184664476,HY-VEE INC,MARSHALL,MN,56258,44.44389,-95.76046
1790711463,HY-VEE INC,JOHNSTON,IA,50131,41.69337,-93.71697
1881620912,HY-VEE INC,LE MARS,IA,51031,42.80163,-96.17911
1871299040,HY-VEE INC,JANESVILLE,WI,53545,42.73551,-89.04054
1225596737,HY-VEE INC,PRESTON,MN,55965,43.62841,-92.12664
1104384650,HY-VEE INC,KASSON,MN,55944,43.98769,-92.73786
1427773191,HY-VEE INC,DAVENPORT,IA,52807,41.61062,-90.51687
1679509319,HY-VEE INC,CEDAR RAPIDS,IA,52411,42.05151,-91.72714
1386319077,HY-VEE INC,EAU CLAIRE,WI,54701,44.74438,-91.51058
1811923469,HY-VEE INC,HARLAN,IA,51537,41.64756,-95.29293
1043249691,HY-VEE INC,NEW ULM,MN,56073,44.30581,-94.46737
1861421497,HY-VEE INC,DUBUQUE,IA,52003,42.43441,-90.67522
1689602666,HY-VEE INC,IOWA CITY,IA,52245,41.6708,-91.50768
1316976087,HY-VEE INC,MANKATO,MN,56001,44.13203,-93.97704
1811939119,HY-VEE INC,BLOOMFIELD,IA,52537,40.73627,-92.41215
1700456977,HY-VEE INC,NEW PRAGUE,MN,56071,44.53702,-93.58185
1558390898,HY-VEE INC,OTTUMWA,IA,52501,41.03574,-92.4315
1215963491,HY-VEE INC,DENISON,IA,51442,42.03038,-95.35836
