rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
32,282,St. Anthony-New Brighton Schools,Hennepin County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1755,222,46,2.62,not_suppressed_in_source
33,508,St. Peter Public School District,Nicollet County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2151,469,46,2.14,not_suppressed_in_source
34,518,Worthington Public School District,Nobles County,Town,NOT_VERIFIABLE,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",3803,634,46,1.21,not_suppressed_in_source
35,531,Byron Public School District,Olmsted County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1920,281,44,2.29,not_suppressed_in_source
36,316,Greenway Public School District,Itasca County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1208,355,44,3.64,not_suppressed_in_source
37,332,Mora Public School District,Kanabec County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1611,395,43,2.67,not_suppressed_in_source
38,876,Annandale Public School District,Wright County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1714,320,42,2.45,not_suppressed_in_source
39,413,Marshall Public School District,Lyon County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2980,536,42,1.41,not_suppressed_in_source
40,829,Waseca Public Schools,Waseca County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1676,374,41,2.45,not_suppressed_in_source
41,2155,Wadena-Deer Creek School District,Wadena County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1337,402,39,2.92,not_suppressed_in_source
42,381,Lake Superior Public School Dist.,Lake County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1370,340,38,2.77,not_suppressed_in_source
43,549,Perham-Dent Public Schools,Otter Tail County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1863,328,38,2.04,not_suppressed_in_source
44,204,Kasson-Mantorville School District,Dodge County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",2039,379,36,1.77,not_suppressed_in_source
45,578,Pine City Public School District,Pine County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1522,228,36,2.37,not_suppressed_in_source
46,745,Albany Public School District,Stearns County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1746,326,35,2.0,not_suppressed_in_source
47,23,Frazee-Vergas Public Schools,Becker County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1000,251,35,3.5,not_suppressed_in_source
48,2180,Maccray School District,Chippewa County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",701,191,34,4.85,not_suppressed_in_source
49,38,Red Lake Public School District,Beltrami County,Rural,NOT_VERIFIABLE,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1908,510,34,1.78,not_suppressed_in_source
50,361,International Falls School District,Koochiching County,Town,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1075,216,33,3.07,not_suppressed_in_source
51,113,Walker-Hackensack-Akeley School District,Cass County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",798,239,32,4.01,not_suppressed_in_source
52,2396,A.C.G.C. Public School District,Meeker County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",831,220,31,3.73,not_suppressed_in_source
53,846,Breckenridge Public School District,Wilkin County,Town,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",773,184,31,4.01,not_suppressed_in_source
54,286,Brooklyn Center,Hennepin County,Suburb,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1328,285,31,2.33,not_suppressed_in_source
55,2165,Hinckley-Finlayson School District,Pine County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",925,218,31,3.35,not_suppressed_in_source
